"Country ","Cumulative number of case(s) ","Number of new cases since last WHO update ","Final Status ","Local chain(s) of transmission 3 "
"Number of deaths","Number recovered","undefined","undefined","undefined"
"Brazil "," 2","0","0"," 0"
"Canada ","
   100","
  -1","13","
  27"
"China ","
     1418","109","
    64"," 1088"
"China, Hong Kong Special Administrative Region 4","
    1190","
    82","
    47"," 229"
"China, Taiwan","23","
     0","0"," 7"
"France "," 5","0","0","1"
"
  Germany "," 6"," 0","0"," 4"
"Indonesia","
     1","
    1","0","
    0"
"Italy "," 3"," 0","0","2"
"Kuwait"," 1"," 0","0"," 0"
"Malaysia "," 4"," 0","1"," 0"
"Philippines","
     1"," 1","
    0"," 1"
"Republic of Ireland "," 1"," 0","0"," 1"
"Romania "," 1"," 0","0"," not available"
"Singapore ","158","
  11","
  12"," 84"
"South Africa","1","0","0","0"
"Spain "," 1"," 0","0"," 0"
"Sweden"," 1","
     1","0","
     0"
"Switzerland "," 1"," 0","0"," 1"
"Thailand "," 8","
     0","2"," 5"
"United Kingdom "," 6","
    0","0"," 3"
"United States ","
     174","
    8","0"," not available"
"Viet Nam ","
     63"," 1","
    5"," 46"
"Total ","
    3169","
    213","144","1499 "
